"Наявне населення - Рік, Регіон, Зміст , Тип поселення"

" "	" "	"Частка в населенні регіону, %"
" "	" "	" сільська місцевість"
"2017"
" "	"Україна"	30.8
" "	"Автономна Республіка Крим"	
" "	"Вінницька область"	49.1
" "	"Волинська область"	47.7
" "	"Дніпропетровська область"	16.4
" "	"Донецька область"	9.2
" "	"Житомирська область"	41.1
" "	"Закарпатська область"	63.0
" "	"Запорізька область"	22.8
" "	"Івано-Франківська область"	56.1
" "	"Київська область"	37.9
" "	"Кіровоградська область"	37.1
" "	"Луганська область"	13.1
" "	"Львівська область"	39.0
" "	"Миколаївська область"	31.7
" "	"Одеська область"	33.1
" "	"Полтавська область"	37.9
" "	"Рівненська область"	52.5
" "	"Сумська область"	31.3
" "	"Тернопільська область"	55.3
" "	"Харківська область"	19.3
" "	"Херсонська область"	38.8
" "	"Хмельницька область"	43.5
" "	"Черкаська область"	43.0
" "	"Чернівецька область"	56.9
" "	"Чернігівська область"	35.2
" "	"м. Київ"	x
" "	"м. Севастополь (міськрада)"	

"Дані станом на 1 січня відповідного року."

"Без тимчасово окупованої території Автономної Республіки "
"Крим та м.Севастополя. "
"Розрахунки (оцінки) чисельності населення здійснено на "
"основі наявних адміністративних даних щодо державної "
"реєстрації народження і смерті та зміни реєстрації місця "
"проживання."

"Розрахунки (оцінки) чисельності населення здійснено на "
"основі наявних адміністративних даних щодо державної "
"реєстрації народження і смерті та зміни реєстрації місця "
"проживання."

"Розрахунки (оцінки) чисельності населення здійснено на "
"основі наявних адміністративних даних щодо державної "
"реєстрації народження і смерті та зміни реєстрації місця "
"проживання."

