"Наявне населення - Рік, Регіон, Зміст , Тип поселення"

" "	" "	"Частка в населенні регіону, %"
" "	" "	" сільська місцевість"
"2018"
" "	"Україна"	30.7
" "	"Автономна Республіка Крим"	
" "	"Вінницька область"	48.8
" "	"Волинська область"	47.7
" "	"Дніпропетровська область"	16.2
" "	"Донецька область"	9.2
" "	"Житомирська область"	41.0
" "	"Закарпатська область"	63.0
" "	"Запорізька область"	22.7
" "	"Івано-Франківська область"	56.0
" "	"Київська область"	37.9
" "	"Кіровоградська область"	36.9
" "	"Луганська область"	13.1
" "	"Львівська область"	39.0
" "	"Миколаївська область"	31.7
" "	"Одеська область"	33.1
" "	"Полтавська область"	37.8
" "	"Рівненська область"	52.5
" "	"Сумська область"	31.1
" "	"Тернопільська область"	55.1
" "	"Харківська область"	19.1
" "	"Херсонська область"	38.7
" "	"Хмельницька область"	43.3
" "	"Черкаська область"	43.5
" "	"Чернівецька область"	56.9
" "	"Чернігівська область"	35.1
" "	"м. Київ"	x
" "	"м. Севастополь (міськрада)"	

"Дані станом на 1 січня відповідного року."

"Без тимчасово окупованої території Автономної Республіки "
"Крим та м.Севастополя. "
"Розрахунки (оцінки) чисельності населення здійснено на "
"основі наявних адміністративних даних щодо державної "
"реєстрації народження і смерті та зміни реєстрації місця "
"проживання."

"Розрахунки (оцінки) чисельності населення здійснено на "
"основі наявних адміністративних даних щодо державної "
"реєстрації народження і смерті та зміни реєстрації місця "
"проживання."

"Розрахунки (оцінки) чисельності населення здійснено на "
"основі наявних адміністративних даних щодо державної "
"реєстрації народження і смерті та зміни реєстрації місця "
"проживання."

