Вінницька область,43.00824,6.005472,1.312608,7.75368,41.92
Волинська область,44.778925,10.42788,0.953295,8.68990000000001,35.15
Дніпропетровська область,21.522642,4.991798,11.615622,9.72993799999999,52.14
Житомирська область,36.869502,8.381493,1.87011,9.54889499999999,43.33
Закарпатська область,30.574524,4.619912,1.076788,8.408776,55.32
Запорізька область,19.371495,3.831828,10.466742,13.519935,52.81
Івано-Франківська область,48.823553,8.705518,0.344142,5.856787,36.27
Киҝвська область,41.338728,7.18362,1.528308,7.18934400000001,42.76
Кіровоградська область,33.107636,8.477016,3.7604,8.374948,46.28
Львівська область,53.872,8.078,0.497,7.553,30
Миколаҝвська область,20.13312,4.52396,6.79664,11.34628,57.2
Одеська область,16.226912,3.046992,7.13336,13.112736,60.48
Полтавська область,33.814053,8.413979,2.906449,9.39551900000001,45.47
Рівненська область,42.457875,8.592878,1.042825,7.496422,40.41
Сумська область,34.078968,8.11404,2.535296,9.91169600000001,45.36
Тернопільська область,50.417952,10.084956,0.416508,7.36058399999999,31.72
Харківська область,15.712444,3.834072,14.574912,11.198572,54.68
Херсонська область,21.002608,5.17,4.297304,10.890088,58.64
Хмельницька область,41.611131,8.886996,1.342683,8.36919,39.79
Черкаська область,36.74638,8.91195,1.54698,8.84468999999999,43.95
Чернівецька область,33.74904,6.580093,1.381965,6.77890199999999,51.51
Чернігівська область,33.218935,11.555155,2.20966,9.96625,43.05
м.Киҝв,38.688636,5.943504,2.061234,9.16662600000001,44.14
